customer_id,age,tenure_months,plan,monthly_spend,support_tickets,satisfaction_score,churned
C0226,60.0,13.0,standard,70.88,0,9.2,0
C0227,48.0,118.0,standard,100.03,0,10.0,0
C0228,46.0,19.0,premium,182.29,0,8.9,0
C0229,27.0,35.0,basic,48.21,2,7.9,1
C0230,42.0,98.0,basic,75.41,3,7.5,0
C0231,62.0,88.0,standard,97.64,2,8.0,0
C0232,19.0,116.0,basic,64.09,3,7.7,0
C0233,57.0,90.0,standard,105.3,1,8.8,0
C0234,43.0,76.0,basic,85.96,1,9.1,1
C0235,55.0,42.0,basic,76.41,3,7.7,0
C0236,52.0,1.0,basic,72.57,3,6.9,1
C0237,40.0,15.0,standard,106.89,1,9.0,0
C0238,34.0,36.0,basic,50.19,1,9.0,1
C0239,50.0,5.0,basic,88.92,5,5.9,1
C0240,25.0,61.0,premium,141.37,3,8.3,0
C0241,48.0,93.0,standard,86.4,1,9.0,0
C0242,22.0,115.0,standard,98.65,3,7.9,0
C0243,51.0,59.0,basic,25.82,1,8.9,0
C0244,50.0,105.0,standard,102.67,0,9.5,0
C0245,22.0,118.0,basic,60.26,4,7.6,0
C0246,57.0,103.0,standard,131.47,1,9.0,0
C0247,39.0,56.0,basic,60.81,2,8.0,0
C0248,58.0,39.0,premium,191.18,2,7.4,0
C0249,20.0,117.0,premium,210.66,4,7.7,1
C0250,27.0,29.0,basic,,3,7.3,0
C0251,43.0,49.0,basic,46.61,0,9.6,0
C0252,27.0,9.0,basic,59.44,5,6.5,1
C0253,35.0,95.0,standard,128.45,4,7.1,0
C0254,52.0,78.0,basic,,1,9.2,0
C0255,25.0,11.0,premium,208.9,5,6.5,0
C0256,53.0,27.0,premium,220.19,0,9.4,0
C0257,23.0,67.0,premium,221.7,2,8.3,0
C0258,27.0,65.0,standard,83.32,1,9.4,0
C0259,48.0,96.0,premium,171.48,1,8.8,0
C0260,59.0,32.0,basic,811.51,3,7.4,0
C0261,26.0,111.0,standard,79.83,2,8.0,0
C0262,33.0,53.0,standard,142.81,1,9.0,0
C0263,66.0,98.0,premium,181.72,2,8.3,0
C0264,69.0,29.0,standard,129.71,1,8.4,0
C0265,48.0,5.0,premium,192.67,0,9.0,0
C0266,41.0,7.0,basic,44.25,4,6.9,0
C0267,36.0,45.0,premium,201.79,0,8.9,0
C0268,49.0,114.0,standard,81.41,0,8.7,0
C0269,48.0,6.0,standard,115.97,2,8.1,0
C0270,33.0,44.0,premium,,1,8.0,0
C0271,19.0,14.0,standard,83.96,3,7.8,0
C0272,25.0,111.0,standard,109.98,2,9.1,0
C0273,67.0,81.0,standard,126.19,3,7.7,0
C0274,,91.0,basic,76.93,0,10.0,0
C0275,43.0,85.0,standard,110.42,3,7.8,0
C0276,42.0,79.0,basic,59.66,3,8.4,0
C0277,58.0,93.0,basic,46.89,1,8.7,0
C0278,21.0,1.0,premium,248.06,6,4.9,1
C0279,22.0,103.0,standard,97.03,1,8.9,0
C0280,32.0,89.0,standard,119.75,1,9.6,0
C0281,43.0,88.0,standard,124.21,2,8.6,0
C0282,52.0,47.0,standard,124.11,1,8.5,0
C0283,43.0,96.0,standard,122.92,2,8.5,0
C0284,40.0,46.0,premium,174.79,3,8.1,0
C0285,66.0,6.0,premium,226.13,4,6.9,1
C0286,,109.0,standard,89.7,6,7.3,0
C0287,47.0,28.0,standard,116.61,1,8.4,0
C0288,,13.0,standard,115.03,2,8.4,0
C0289,42.0,75.0,standard,129.71,3,8.0,1
C0290,59.0,28.0,standard,111.67,3,7.2,0
C0291,31.0,103.0,standard,128.52,1,8.8,0
C0292,67.0,53.0,standard,90.23,0,9.7,0
C0293,35.0,1.0,standard,120.82,3,7.4,0
C0294,46.0,114.0,standard,109.33,1,9.2,0
C0295,45.0,62.0,standard,129.83,0,8.7,0
C0296,62.0,32.0,basic,66.8,4,7.2,0
C0297,40.0,81.0,basic,89.54,2,8.4,0
C0298,32.0,64.0,standard,142.17,3,7.6,0
C0299,19.0,4.0,standard,100.95,2,8.1,0
C0300,36.0,91.0,basic,68.63,2,8.2,0
C0301,60.0,48.0,standard,97.97,0,9.0,0
C0302,18.0,84.0,premium,185.57,10,4.0,0
C0303,64.0,107.0,basic,76.28,1,8.8,0
C0304,46.0,73.0,premium,208.12,0,10.0,0
C0305,25.0,80.0,premium,124.0,2,8.8,0
C0306,33.0,31.0,standard,91.1,4,6.6,0
C0307,46.0,29.0,standard,115.24,0,10.0,0
C0308,34.0,50.0,basic,79.64,1,8.5,1
C0309,23.0,102.0,premium,197.34,1,9.1,0
C0310,52.0,63.0,standard,114.79,0,9.7,0
C0311,52.0,42.0,premium,188.48,0,8.6,0
C0312,24.0,93.0,standard,90.91,2,8.3,0
C0313,32.0,102.0,basic,92.63,1,8.7,0
C0314,30.0,108.0,basic,58.32,1,9.1,0
C0315,52.0,36.0,standard,134.89,0,9.3,0
C0316,55.0,85.0,standard,115.27,3,7.7,0
C0317,55.0,71.0,basic,63.68,1,8.8,0
C0318,66.0,54.0,standard,105.17,1,9.1,0
C0319,57.0,48.0,premium,183.24,0,9.5,0
C0320,34.0,14.0,standard,60.67,1,8.5,0
C0321,23.0,33.0,standard,124.61,2,8.1,0
C0322,49.0,66.0,basic,55.02,0,10.0,0
C0323,65.0,106.0,premium,172.56,2,8.6,0
C0324,68.0,104.0,standard,800.96,3,7.7,0
C0325,29.0,23.0,premium,204.7,3,6.9,0
C0326,30.0,81.0,standard,129.41,0,8.8,0
C0327,19.0,11.0,standard,80.3,0,8.9,0
C0328,25.0,81.0,basic,67.34,4,7.2,0
C0329,46.0,41.0,basic,57.0,0,9.0,0
C0330,46.0,54.0,premium,201.49,1,9.0,0
C0331,37.0,86.0,standard,74.21,2,8.1,0
C0332,34.0,51.0,standard,120.24,2,7.8,0
C0333,61.0,97.0,premium,230.63,5,7.1,0
C0334,41.0,64.0,premium,158.37,3,8.4,0
C0335,60.0,119.0,premium,213.2,3,7.7,0
C0336,68.0,76.0,basic,32.0,1,8.9,0
C0337,34.0,36.0,standard,98.03,3,6.8,0
C0338,28.0,93.0,premium,203.2,1,8.5,0
C0339,67.0,49.0,standard,95.54,2,7.9,0
C0340,51.0,64.0,basic,84.45,2,8.7,0
C0341,33.0,17.0,premium,251.92,3,7.3,0
C0342,50.0,15.0,standard,100.25,2,7.6,0
C0343,44.0,69.0,standard,106.07,1,8.8,0
C0344,65.0,23.0,premium,177.69,2,8.2,0
C0345,31.0,119.0,standard,118.34,2,8.2,0
C0346,69.0,102.0,standard,146.0,5,7.6,0
C0347,66.0,84.0,standard,139.26,2,8.2,0
C0348,27.0,88.0,standard,142.53,1,8.9,0
C0349,26.0,71.0,basic,79.22,3,7.5,0
C0350,45.0,8.0,premium,184.25,3,7.7,0
C0351,20.0,47.0,premium,245.33,2,8.8,0
C0352,33.0,60.0,basic,90.83,2,8.9,0
C0353,40.0,109.0,standard,107.07,3,7.6,0
C0354,68.0,27.0,premium,198.38,2,8.6,1
C0355,69.0,60.0,basic,57.63,0,9.5,0
C0356,25.0,41.0,standard,107.78,2,8.5,0
C0357,64.0,16.0,standard,103.45,4,6.8,0
C0358,22.0,13.0,standard,102.63,2,7.9,0
C0359,56.0,44.0,basic,59.85,1,9.0,0
C0360,61.0,10.0,standard,129.25,2,8.3,0
C0361,64.0,8.0,standard,105.36,3,8.0,0
C0362,29.0,42.0,standard,,1,8.7,0
C0363,64.0,25.0,basic,24.62,2,8.0,0
C0364,24.0,67.0,standard,126.46,5,5.6,0
C0365,44.0,3.0,standard,75.2,7,4.5,0
C0366,42.0,36.0,basic,45.77,3,7.4,1
C0367,34.0,54.0,basic,32.82,0,8.8,0
C0368,19.0,115.0,basic,62.84,2,8.8,0
C0369,58.0,76.0,standard,128.0,1,8.3,0
C0370,35.0,105.0,  basic  ,77.88,1,8.8,0
C0371,52.0,41.0,premium,138.81,2,8.1,1
C0372,39.0,54.0,standard,99.95,0,9.8,0
C0373,37.0,51.0,premium,196.78,3,7.5,0
C0374,64.0,106.0,  premium  ,228.94,1,9.3,0
C0375,22.0,115.0,basic,100.93,2,8.6,0
C0376,56.0,115.0,standard,,2,8.8,0
C0377,56.0,90.0,premium,202.2,1,9.4,0
C0378,37.0,60.0,standard,116.49,0,9.3,0
C0379,31.0,65.0,standard,120.34,0,8.6,0
C0380,18.0,117.0,standard,98.52,3,7.8,1
C0381,66.0,34.0,basic,69.52,4,7.0,0
C0382,67.0,42.0,standard,123.98,0,9.3,0
C0383,30.0,107.0,premium,,2,8.3,0
C0384,19.0,46.0,premium,222.43,2,8.7,0
C0385,24.0,28.0,basic,29.83,2,8.0,0
C0386,21.0,67.0,standard,125.73,2,7.9,0
C0387,61.0,39.0,standard,139.88,1,8.5,0
C0388,64.0,107.0,premium,167.65,0,10.0,0
C0389,25.0,109.0,basic,59.53,2,8.7,0
C0390,56.0,37.0,premium,148.89,2,8.7,0
C0391,27.0,64.0,premium,170.91,3,7.4,0
C0392,37.0,118.0,basic,50.39,1,8.8,0
C0393,49.0,89.0,basic,77.37,2,8.1,0
C0394,55.0,26.0,premium,205.46,3,7.7,1
C0395,63.0,71.0,basic,55.31,0,9.3,0
C0396,20.0,74.0,standard,120.7,2,8.1,0
C0397,28.0,78.0,premium,198.63,4,7.2,1
C0398,32.0,3.0,standard,75.99,2,7.6,0
C0399,34.0,36.0,standard,97.59,4,6.9,1
C0400,69.0,102.0,standard,67.46,3,8.3,1
C0401,58.0,29.0,basic,51.95,0,8.5,0
C0402,34.0,36.0,premium,193.68,1,8.9,1
C0403,68.0,39.0,standard,80.23,4,7.5,0
C0404,,22.0,basic,85.76,1,8.5,0
C0405,44.0,19.0,basic,57.67,1,8.3,1
C0406,40.0,42.0,premium,156.73,1,9.2,0
C0407,25.0,105.0,basic,81.93,3,7.5,0
C0408,66.0,1.0,premium,191.3,3,7.5,0
C0409,18.0,34.0,standard,116.92,2,7.7,0
C0410,27.0,8.0,premium,245.36,6,5.1,1
C0411,29.0,67.0,premium,216.53,6,6.1,0
C0412,32.0,30.0,premium,190.29,3,7.1,0
C0413,24.0,95.0,premium,165.53,1,9.1,0
C0414,18.0,70.0,basic,92.68,2,8.7,0
C0415,53.0,94.0,premium,166.33,4,8.2,1
C0416,68.0,76.0,standard,81.93,2,8.3,0
C0417,24.0,53.0,standard,76.48,2,8.6,0
C0418,33.0,103.0,  premium  ,234.53,1,9.3,0
C0419,44.0,57.0,premium,177.3,1,8.7,0
C0420,66.0,114.0,standard,111.18,1,8.3,0
C0421,54.0,119.0,standard,127.37,0,10.0,0
C0422,57.0,71.0,standard,100.2,3,7.3,0
C0423,48.0,81.0,standard,88.4,2,8.9,0
C0424,39.0,31.0,standard,108.27,3,7.7,0
C0425,28.0,97.0,standard,129.0,6,5.8,0
C0426,62.0,80.0,basic,63.1,1,9.0,0
C0427,59.0,108.0,basic,69.05,0,10.0,1
C0428,19.0,32.0,premium,172.32,2,8.8,0
C0429,55.0,94.0,standard,125.65,3,7.6,0
C0430,22.0,56.0,premium,180.1,0,9.1,0
C0431,56.0,23.0,standard,89.91,1,8.6,0
C0432,60.0,21.0,basic,64.17,2,7.9,0
C0433,24.0,67.0,basic,29.7,2,8.7,0
C0434,40.0,39.0,basic,81.2,0,9.5,0
C0435,24.0,13.0,premium,138.86,4,6.3,0
C0436,,51.0,basic,66.42,2,8.3,0
C0437,66.0,78.0,standard,77.73,0,9.3,0
C0438,22.0,38.0,premium,185.77,1,8.8,0
C0439,38.0,114.0,premium,170.62,1,9.3,0
C0440,68.0,93.0,basic,76.68,2,8.8,1
C0441,33.0,62.0,basic,68.18,2,8.6,0
C0442,24.0,112.0,basic,73.91,1,8.7,0
C0443,43.0,52.0,basic,28.71,3,7.6,0
C0444,44.0,17.0,basic,50.03,1,8.4,0
C0445,52.0,5.0,standard,105.49,4,6.2,0
C0446,34.0,112.0,premium,230.84,0,9.7,0
C0447,67.0,115.0,  standard  ,87.0,0,10.0,0
C0448,45.0,88.0,standard,132.18,3,7.1,0
C0449,32.0,13.0,basic,57.77,2,8.0,0
C0450,67.0,35.0,premium,146.54,2,8.2,0
C0451,66.0,5.0,standard,98.97,2,8.0,0
C0452,43.0,7.0,premium,170.55,3,7.1,0
C0453,19.0,30.0,premium,101.76,1,8.2,0
C0454,49.0,69.0,standard,112.95,1,8.2,0
C0455,46.0,8.0,basic,85.21,4,7.4,0
C0456,25.0,118.0,basic,80.72,1,8.6,0
C0457,50.0,55.0,standard,104.17,1,8.5,0
C0458,61.0,32.0,premium,150.07,2,9.1,0
C0459,23.0,62.0,standard,99.31,0,9.0,0
C0460,55.0,95.0,premium,216.25,2,8.7,0
C0461,25.0,38.0,standard,113.22,3,8.0,0
C0462,56.0,6.0,basic,70.01,5,6.7,0
C0463,39.0,7.0,standard,101.03,6,5.2,1
C0464,18.0,102.0,standard,125.32,5,6.5,0
C0465,68.0,14.0,standard,111.35,3,7.5,0
C0466,26.0,76.0,standard,95.28,4,8.0,1
C0467,48.0,46.0,basic,37.69,3,7.3,0
C0468,27.0,93.0,standard,91.75,2,8.2,0
C0469,66.0,8.0,basic,48.11,3,7.6,1
C0470,56.0,107.0,premium,221.23,4,7.7,0
C0471,59.0,84.0,basic,61.3,1,9.1,0
C0472,40.0,54.0,basic,41.94,2,7.8,0
C0473,42.0,25.0,standard,150.76,3,7.3,0
C0474,50.0,117.0,standard,153.47,0,9.7,1
C0475,58.0,36.0,standard,57.36,0,9.7,0
C0476,62.0,59.0,standard,138.66,3,7.5,0
C0477,18.0,47.0,premium,144.51,2,8.3,0
C0478,52.0,28.0,standard,115.86,1,8.2,0
C0479,23.0,50.0,standard,71.33,2,8.9,0
C0480,32.0,19.0,standard,106.17,3,7.5,0
C0481,61.0,1.0,basic,42.89,4,7.2,0
C0482,31.0,35.0,standard,105.65,2,8.1,0
C0483,,14.0,basic,39.03,1,8.6,0
C0484,42.0,50.0,standard,149.64,1,8.1,0
C0485,30.0,103.0,basic,72.92,1,8.1,0
C0486,35.0,20.0,premium,186.36,1,9.2,0
C0487,45.0,1.0,standard,108.68,2,7.9,0
C0488,57.0,14.0,premium,203.43,0,9.3,0
C0489,49.0,61.0,standard,141.43,3,7.2,0
C0490,66.0,33.0,basic,35.92,0,8.8,0
C0491,63.0,59.0,premium,160.13,0,9.9,0
C0492,57.0,4.0,standard,119.74,6,6.4,1
C0493,49.0,40.0,premium,221.07,2,8.0,0
C0494,33.0,49.0,standard,107.03,1,9.0,0
C0495,39.0,52.0,standard,72.93,2,8.2,0
C0496,24.0,66.0,premium,167.52,3,7.8,0
C0497,37.0,93.0,standard,168.12,0,10.0,0
C0498,66.0,56.0,standard,111.19,2,8.0,0
C0499,40.0,101.0,standard,134.71,1,9.5,0
C0500,23.0,64.0,standard,96.85,2,8.4,0
C0501,51.0,31.0,premium,195.23,1,8.7,0
C0502,68.0,28.0,standard,97.41,1,9.1,0
C0503,63.0,39.0,standard,106.6,0,9.3,0
C0504,32.0,72.0,premium,140.57,0,9.5,0
C0505,41.0,29.0,standard,111.27,3,8.0,0
C0506,45.0,109.0,standard,83.88,1,9.5,0
C0507,30.0,58.0,standard,70.38,1,9.2,0
C0508,31.0,103.0,basic,57.33,4,5.8,0
C0509,30.0,82.0,standard,,0,9.6,0
C0510,69.0,40.0,basic,72.98,0,9.3,0
C0511,56.0,28.0,basic,66.42,3,7.5,1
C0512,61.0,89.0,standard,88.07,3,8.0,0
C0513,,40.0,standard,137.18,0,9.3,0
C0514,67.0,30.0,premium,193.51,0,9.6,0
C0515,23.0,111.0,basic,70.49,3,7.8,0
